,video_id,comments
22,Y-vLayu1NWs,"['Well at least he has Bond money', 'no stop มิสเตอร์บีน มันมีคนหักหลังคุณน่ะค่ะ', '❤😊🎉 also hä wieso gibst du immer Geld kannst du auch mal die homeless peoples machen', 'a', 'Ok', 'something wrong he really no need but the poor will need it', 'Guy:Stop playing  mr.beast: no', '❤❤❤❤', 'u should put the chocolate in Canada', '""Stop playin\'.""\n\'\n""No.""']"
23,57AoEm66EZM,"['Ok Mr. Beast... when are you going to be in my neck of the woods? 😅', 'Give me a car 🚗', 'Shoutout to Mr beast 🎉', 'Just a wealthy guy checking the morals of others. Very interesting.', 'Pls help me seriously 😒', 'what if it was a kidnapper', 'U bless', 'Are we ignoring the height difference?', 'Mr beast probably spends more money on cases.', 'TRY IT IN THE GHETTO AND YOU WILL FAIL EVERY TIME.']"
24,EniZMIlfqk0,"['❤', 'Yo me preguntó quién no conoce esa cara ? Hahaha', 'Damn blue was gonna pay but dude kinda whooped it', 'Además lo debería compartir con su amigo', 'HELLO', 'WrBeast  2', 'He knew it was Mr beast', 'Yes', 'Hello', 'Bengan  a  machala  porfovor']"
25,5Qb-uKhSw4Y,"['Gostaria de ganhar uma casa❤🙏', 'Eres el mejor amigo', 'Ayu dame', 'Cvb', 'No', 'Pls help me in Sri Lanka', ""You could've literally handed it to your girlfriend"", 'Givers gain ❤', 'Come to the Netherlands make Europe tour', 'Who is filming']"
26,Uov121gdBho,"['make  a  bigger  one', 'eu só tenho 8  anos e não faço bagunça', 'Bro got bamboozled', '😂😂Ro. Uio', 'You are really silly.', 'Bro', 'Naw😮', 'Hey Siri, how are you doing?', ""Whoa that's cool\n❤❤❤❤❤❤❤❤❤❤❤❤"", 'the sexual innuendo!!! oh my god']"
27,0nS_yE49vDI,"['Пожалуйста 🙏  🏡 ❤ ради Аллоха', 'ive had a porkupine in my mouth before so its fine', 'in love mr beast', ""I'm just now finding this out their is a pineapple Jolly rancher"", '☠️☠️☠️☠️☠️☠️☠️👀💪', 'I’ve seen that front on holiday once', 'Naaaaahhh nick just licked it 😂', 'This is the fruit of Monstera deliciosa and it is very tasty', '00:40', 'huwak nyu kainin']"
28,ieKAhG_gdCw,"['HELP ME', 'Vivo en una comunidad indigena y allí los indigenas juegan fútbol son muchos equipos apoyanos con uniformes deportivos te esperamos Venezuela Guayo, murako', 'I’m still growing up tho….', 'Is sapnap still kidnaped?', 'pls let\nme know how to', 'Wow', 'Mi Time was end ❤', 'METAS ❤', 'But you reached 200M ?', 'Hlo sir']"
29,1Y1Kcfog3KU,"['If bro knows what a hihat is', 'Presses the wrong button', 'YOU MAKING IT OUT THE HOOD WITH THIS ONE🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🗣️🗣️🗣️🗣️🗣️🗣️', 'This goes to show money is more important than talent', 'What was the song????', '❤❤❤❤', ""What's the song called"", 'How to become an artist in 3 steps lol', 'Me armyyy 😅', 'Bro did a Ludwig 😂']"
30,er5LLR2oCmg,"['🎉🎉🎉🎉🎉🎉CONGRATULATIONS 🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉', 'Meeeee', '❤❤😃😃😃😃😇😇😇99,99999🎉🎉🎉', 'Who’s here at 1b', 'Me', 'Whay gwang mi a jamaican', 'Yeh man wamng', 'Congrats', ""I've been watching for about 3 years"", '11yearsold']"
31,PIIDWkxdcXY,"['Toast', '❤❤❤❤', 'My friend, for some reason on my baseball team, he invented a chant where we would say toast for some reason', '😂🔺️', '😂🔼', '""Tell them to chant the basketball player word""- 👴🏻', 'Goyums 😂😂😂', 'Is beautyfull', 'Toast', '😂😂😂😂😂😂']"
32,48aPpt02360,"['😭BRUHH', '@alaska violet', 'Hahahahha', 'Аооаоаоаоаоаоаоаооаоаоа кто русский сюда\n👇', 'Did he drop the bread? This is sin', '❤❤', 'Wow❤❤❤', '😂😂😂🤣🤣', 'Bro, throwing bread on the ground is a sin in religion', '❤❤❤❤❤']"
33,PQvsFHXmQcI,"['ََ', 'Зу́р😊😊', '❤❤❤❤❤❤', 'Bro could have just break his piggy bank to get a penny', 'Bro, please help me 🙏🙏🙏🙏🙏', 'Mr. Beast you are the best.', 'The cameraman thinking he did it too but no credit😂', 'Hola mistery quiero conocerte peso no soy Argentina así que river ni mi casa iPhone 119 ojalá pueda verte es que', 'Mr beast the best o maior do mundo the Brasil Love you', 'RESPECT \U0001fae1']"
34,T4MLZQkelkI,"['in jakarta', 'really need for homeless & poor people', '❤❤❤❤❤', 'Pagal', 'WOW👍', 'Yeah flying socks', 'Free free Palestine', 'We’re is this', 'Where is this at.', 'Раздача на спавне']"
35,1C8G1U-82F0,"['Where is this please tell me', 'This is so beautiful😊😊🎉', '❤', '💵💵💵💵💵💵💵💵you', 'Qué hermoso 😄😄😃😀', 'But where is it', '81', '❤❤❤❤❤❤', 'Where?!', 'Wow']"
36,-JuvzZ0I1I8,"['Jimmy is in a poor people cosplay', 'يهههههههههههههههههههههههههههههههههههههههه', 'COME RENT OUT CRAZYPINZ AT FORT WAYNE AND INVITE A LOT OF PEOPLE!!', 'The Home Depot beat😂', 'Makes sense', 'So true *flashbacks to buying a whole store and 5 stores*', 'Jimmy bald', 'We. Préstame 80 bolas para enganchar un carro.', 'Mr beast', 'they better be getting tipped 😂']"
37,kTg4kBRz3t4,"['This guy is on his journey to get constipation\nHis digestive system is gonna stop working as soon as he turns 70\nSo better chew ur food properly...', 'Yummy 😋', 'Get the shuts to do it', '❤❤❤❤', 'My from bangladesh', '❤❤❤❤❤❤', '❤❤❤❤❤❤❤😂', 'Joey chestnut enters the room', 'Nonsense', 'Se ven ricos 😋']"
38,kiJcFJhUTu8,"[""I WILL FLY YOU TO VIDCON. Here's what to do: click the hashtag on this video, make a Short sharing some candy, and post it! There's going to be multiple winners so make sure you enter :)"", 'Hey Jimmy can u give me a chocolate pls', 'Türkiye çoklet bar pls 🇹🇷🇹🇷🇹🇷🇹🇷', '❤❤❤❤❤❤', 'Dicen que lo hacen ese chocolate en Perú. Pero aquí no lo venden creo 😢', 'Love from Pakistan bro', 'Love you bro', 'Is it on now', '😅\nGimi.', 'But no herheys choclate']"
39,YvPxFOwpYYg,"['No bro eres el puto amo que capo', '❤❤❤❤❤', '❤❤❤❤', 'What Blanket out', 'Yummy', 'Can you use the factory for feastables ?', '❤🇨🇴🇨🇴🇨🇴✨', 'Are you gonna do anything to help people in Michigan get safely drinkable water?', 'ᐯIᐯᗴ ᗰᗴ ᗩ ᗷᗰᗯ', '😅😅😅']"
40,3HjlcChckdw,"['❤❤❤❤❤', 'this is epic', '😂', 'Free palesrtin😊😊', '75', 'Ludwig should become one of the crew', 'starrrrr warsssssss🤐🤐🤐🤐🤐😮😮😮😮🔪🔪🔪🔪🔪', 'Dunyan en iyi lazeri ile cantaya bagli onu la deneyin😊', ""That's a light hose😅"", 'May the force be with you']"
41,Nx9Odqg4Fe0,"['Wait what?????', '😂❤🇮🇶', 'Oooo', 'Lee mr beast', 'This is Elon musk. My secret account.', '❤❤', 'Boys Elon musk is going DOWN!!!', '❤❤❤', 'Is this legally binding? Need Ugo up in here 😂', 'Hence the reason he renamed it 😅😂']"
42,cK55SlddSo4,"['Misdirbis seni seviyorum ❤❤❤❤❤❤❤❤❤😢ben seni görmek istiyorum', ""Ever swung a shovel or a saw? Didn't think so.😂"", 'THATS ME', 'My guy needs a break ngl XD', 'lol ikr', 'bruh', 'then you say no and ppl cancel you ✋😭', 'Lol', ""Just let a good dude be a good dude and let fate be fate, he obviously had a method and reasoning behind how, when, and who he gives to. Just shake the guy's hand and appreciate that there's even someone out there helping people."", 'Hello mr beast']"
43,AAuRnIqXjpE,"['Balls', 'ye', 'where is the link?', 'ickrolll', 'Jimmy you can do it tomorrow or Thursday', 'the perfect opportunity to do a rickroll', 'How guy', 'Where is the description?', 'Yes110%missed rickroll  opportunity', '😂']"
44,nsbHrMXdu3o,"['Ehehehehehe', 'Hahah', '🥳', 'yo waz goo- bro bro.BRO', 'The best day of my life', '*puts one of the bunch of money in my pocket*', 'Imma sit your lap just to have that money bro BWHAHAHAHAHHA', '🤑🤑🤑👏👏👏', 'Me:keep it coming', ""Beast, money is nothing but a piece of paper, it's warmer sitting on your lap <3333""]"
45,sse_kKOa_4k,"['Hahaha', 'We need him back', 'Future babysitters 😂', 'lemma try this', 'อยากให้คุณน่ะแปลเป็นไทย', 'Ummmmm..... Good', 'Ray William Johnson? That you?', 'O oo lo\noooooooooooioo odio', '70', 'LIFE GOGES ONANONANOANONANONANONANONANON YEYEYEYE']"
46,7NTznJOVIy0,"['The fact he hasn’t collaborated with Sam and coby yet it crazy👀', 'Help me bro 🙏🙏', 'ME 😮😮😮', '😂😂', 'OMG Zach giving the doll?', 'Who saw Zach king in the back corner', '69', ""That's a voodoo doll \U0001fae5"", 'Who?', 'Moro em Mafra  perto  da iskiba']"
47,oFkDadO1qd0,"['W MK assault rifle 🔥🔥🔥', 'Help me bro 🙏🙏', '🥳', 'YES', 'FREE fire the best', '68', '""It\'s evolution, just backward"" blow up in my mind', 'but now we got OG fortnite 💯💯', 'tbh, this is a really fun gamemode', 'do u play fortnite?']"
48,7bKoK8WCMz8,"['Until all the icecream completed😅😂', '6 months', '5 years', '5 years', ""I'll do it for free"", 'Make this  the most liked comment please', 'FOREVER', 'About two weeks', 'At least a year', '♾️']"
49,d5Iq_0_DNiE,"['Why is Mona Lisa in this?', ""Wow it's mrbest Wow hahahaha it's 9 1 1 it's easy"", 'Bro recover in a minite', 'Nah he made the Mona Lisa in 10 seconds', 'Tommy Timmy Jimmy limmy', 'Kuuny', 'مستر بيست❤', '😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😊😊😊❤❤😆', ""hey Mr bist I'm your han"", '֮ϐׁ\u2060ꭈׁׅ\u2060υׁׅhׁׅ֮ tׁׁׅׅhׁׁׅׅ֮֮\u2060ꫀׁׅ\u2060ܻ݊ꭈׁׅ\u2060ꫀׁׅ\u2060ܻׅ݊꯱ ꩇׁׅ\u2060֪݊ ᨵׁׅׅ\u2060݊ꪀɑׁׅ\u2060ᥣׁׅ֪\u2060ꪱׁׁׁׅׅׅׅ\u2060꯱ɑׁׅ!']"
50,laaYk9lE0O4,"['hey', 'The power ranger t-shirt is a legendary t-shirt😤', ""Jimmy what's the song name?"", 'People who saw mrbeats', 'Never let them know your next move', 'Good one mr beast', '🤣🤣', '🥳', 'Haaaaaaaa', 'The legend']"
51,AYMuPowoHcY,"['😂😂', 'That is atrocious', 'Pfffftt', '👍👍👍👍👍👍👍👍👍👍', 'Nah', 'Logo sucks the new one', '10/10 peak design', '😂😂😂😂😂😂😂😂😂😂😂', 'This Channel should hit 40 K and then Jimmy should do it', 'It slays so hard']"
52,s5A8cO56wuU,"[""Couldn't mr beast buy lambo"", 'loool', 'Who uses oxygen?                                          👇', '👍👍👍', 'Ahahahah', '👍👍😆😆💕 door to door 👍', '😊', 'Are they in doors ?', 'Mr.boost ♥️', 'They reminded me of Tom and Jerry 😂❤']"
53,USNQnhx1QX0,"['No way this is official', '*"" O H    Y E A H ""*', '.', 'When you realize that this is the official mr.beast channel:', '*” I F E E L I T I N M Y S U P E R B A L L L S “*', 'mr. beast would end up making saw irl', 'Moth is confused.', 'Lol he is lolllll', ""Ngl, Mr beast is kinda iffy. But if he really is good, then he should give my fam 2k. That's all we need"", 'Me remembering one mr beast meme, mr beast? Nah MR FEAST ON UR CHILDREN 😭']"
54,_y0-HZPxkBU,"['My birthday is 29 jan', 'Saya mau coklat', 'Me too', 'Me', 'where in Egypt', '🥰🥰🥰👍👍👍', 'පැටිස් cup criket සීට් එක scores idea of a scores idea of a 20 strider 2012', '😊 yariel', 'Mr beast manda suas barras para obrasil para anapolis', 'Mitsubishi gyújtsak lábbal Xbox']"
55,y_k0vsyGyzY,"['❤❤❤❤❤❤❤❤❤❤❤❤❤❤', 'Hola mi serpiente sé que sé que no hablas tú en español pero pero quiero que me mandes un saludo y lo traduzcas chao Hello Hello', 'Wow just amazing ❤', '60', 'MATPAT', 'Is this side charity match', 'Voy ha empezar a decir,hey ,a partir de acá en los comentarios', 'Zach king is here', 'Zach win', 'OMG THATS ZACH KING']"
56,Adt1X-SdsS0,"['Mr best  cum ශ්\u200dරී ලංකා අඩෝ කිව්වේ', 'Ну такое себе', 'Noooooo wayyyyyyyyyy ooooommmmgggggggg it gets no better then this', 'Uang saya rupiah jimmy 😢😢, jadi agak sulit😂😂😂😂😂😂', 'Are they all gone?', '❤\n\n🎉😅', 'HellMee', 'Bring this back ❤', 'Is that a boy?!', 'Lütfen Türkiye ye gel']"
57,snwe2C5Dvoo,"[""I'm uploading my squid games this week! Subscribe!"", '🥳', ""What's the doll looking?"", 'The music rlly said: HEHEHEHEHEHEHEHEHEHEHEHE', '😮😮Wow😮😮', '58', 'A', 'Selam', 'Selam', 'It looks insane 🙀']"
58,iqn4vWySmF0,"['Thanks for donating to Team Seas! we’re so close to halfway. please continue to donate so we can protect the ocean! Teamseas.org', 'Сәлем Қазақстаннан моладец жарайсың', 'Blud probabaly just buried it😅', '🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻', 'False', '👍👍👍', '57', 'BRO IN THE BACK', 'Someone is watching then after the transition', 'Love  mr beast ❤']"
59,DMP-uU2988Q,"['56', 'Comment', 'Please help me Jimmy Bhai jan please help me Jimmy Bhai', 'Where is team greens for cleaning the land', 'How🧐🤷🏻\u200d♀️', 'AZZZZYLANDDD', 'Team bees is next', 'Your the best jimmy', 'Elon musk', 'What about kilograms?']"
60,KbYrEtuHIZ4,"['How', '기브미  머니  💰', 'How', 'How?', 'How did you get in there😂', 'Jimmy how', 'huh', '🤑🤑🤑🤑🤑🤑🤑', 'how', ""That's how he got unlimited money""]"
61,ka7-lnvkHcE,"['Mr beast alone is keeping the briefcase business booming....', 'W beast', 'BRO PULLED PUT THE MASTERCARD', ""I'm straight"", '😂😂😂😂😂', 'id say get the fu away from me', 'W', 'Da power of money 😮', 'Imagine Mike Tyson is at the door starring at him....and he is saying ""eye contact"" what the fook!!!', 'W mr Beast']"
62,RS9jRyYFFQM,"['😂😂😂😂😂😂😂😅😅😅😊', 'No, I’m Julian', 'MR BEST 🇳🇫🇵🇭', '😂😂😂😂🎉🎉🎉😢😮😮😮😅😅😅😊😊❤', 'Mister bis aku belin rumah dong', 'Free Free 🇵🇸', 'me beast', 'ye no actally the stairs be lookin mighty fine right abt now', 'Get me your bag pls:)))', 'Billetera mata galán mister beast, tranquilo papaaaa!!!']"
63,3C-H-3GKmSo,"['help us get to 69,696,969 subscribers lol', 'NO 210 M', '69,420,000', '🎉🎉🎉', 'Next up 690,000,000', '🎉', '😢😢😢😢😢', 'Wat does 69 mean', 'Im subscribed to you', 'Yes 👍👍👍👍👍👍👍👍❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤']"
64,ayoqtcyNurM,"['Give me v bucks', 'That dude is clearly confused', '😂😂😂😂😂😂😂😂😂😂😂🎉🎉🎉🎉', 'The Chicken nugget is that expensive😂😂😂😂😂😂', 'WHAT THE 😂😂😂😂😂😂', 'Beast nuggets', 'Chicken nugget Wellington', '$420.69for a single chicken nugget 👌👌👌👌', '$420 for a chicken nugget😂😂😂', '😂😂😂😂😂']"
65,VdGUsA6TRAY,"['check out our first song https://www.youtube.com/watch?v=zxYjTTXc-J8', '“The Best Boys”', 'Now its him and the sorta boys', 'Sg guitar 🔥🔥🔥', 'Yeaaaaaa', 'The boys……', 'me and the birds', 'Where is bass player??', 'Linkin Beast\nMy Beast Romance\nBeastones\nBeast Day\nbeast-182', 'Cool']"
66,_icWbXT3iq0,"[""Why didn't they use the five seconds to agree on saying poop 💩"", 'You can tell that this was from a long time ago', '*meow*', '😂', '𝓞𝓴', 'Back when they still had testosterone', '49', 'They should have said ""word"".', '😮😮😮', 'Día #5 pidiéndole 10 millones de pesos a Mr Beast para poder terminar mi carrera universitaria.']"
67,NhkzQ2sKRLw,"['😂😂😂', 'NOLAN SUCKS AT BOWLING LOL', '"" the people who lost 2 million dollars to bowling""\n:(', '48', 'Nostalgia', 'True', 'Thank you Jimmy', 'Lol', 'noice', 'The noise of Nolan 😂😂😂😂😂😂😂😂😂']"
68,6NUAfYJTb9U,"['Yeah', 'Eu sou inscrita me chama pra algum desafio por favor🙏🏻🙏🏻🙏🏻', 'Xd', 'he is the chosen one…. He has unlocked the perfect SpongeBob popsicle….', 'mrbera', '😂', 'It no good', 'that ones teath are too long', 'Are you mitserlbist', 'Op']"
69,-St6ViJcE0M,"['Please invite me for insane competitor', '46', '""I\'ll see you later"" is he gonna take back the money 👀', 'تحياتي ل طارق الفلسطيني', 'Beast oh', 'طارق الافضل', 'круто', 'He turned into milk man', 'Jimmy aku juga mau ikut permainan berhadiahnya😅😅🎉🎉😂😂😂', 'Y dónde esta el TRADUCTOR??? ahora xq me sale en inglés..... 😏😏😏😏']"
70,D2Nja7c_d6k,"['❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤', 'Ya think mr beast got squabbles?', 'Mr Beast come to Kenya in Nairobi at Jogoo rd', 'Tarek most underrated need him in more vids', 'Wish to meet him in my life. ❤', 'Tariq is the best', '45', 'amazing 🎉', 'Good challenge mr.beast❤😅', 'This Man need a Oscar']"
71,WRxGptfonDI,"['❤❤❤❤❤❤❤❤❤❤❤❤❤', '🎉❤❤❤❤❤❤', 'f1 1977 accident', 'BALLONS IN YOUR ROOM THAT CRAZY', '😂😂😂', 'Brayn 😂 come back', 'Это с мамикса своровано😅', 'No ablo ni escribo inglés \nOjalá lo traduzcas \nTe admiro y me gustan mucho tus videos', '44', '🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸❤❤❤❤❤❤']"
72,0VDIibxorIE,"['43', 'Good 👍', 'When the were just boys', 'U Has to use the Secret Wii Sports tactic', 'Moments before disaster', 'U SHOULD HAVE LET NOLAN TRY', '🤬🤬🤬🤬🤬🤬🤬', '""This is righed""😢😂😂😂😂😂', 'How many did jimmy hit', 'That’s a wiisports gamemode']"
73,ZCVj0ZSd7Ps,"['why ??? 😢', 'Its katanaaaaaaa', 'Hope these were spoilt fruit guys.', 'It would take half of my salary to buy those fruits', 'Nigahiga', 'No longer can we say tbeyre the bois', 'EGORIK please', '切れ味よスギィ！', 'Unspeakable already did fruit ninja😊', '❤❤❤❤😂😂😂op']"
